State,State_Overweight_Rate,National_Overweight_Rate
"Puerto Rico",38.15,35.55
Alaska,37.64,35.55
"New Jersey",37.06,35.55
"Rhode Island",36.78,35.55
Nevada,36.75,35.55
Wyoming,36.70,35.55
"South Dakota",36.68,35.55
Montana,36.63,35.55
Florida,36.62,35.55
Wisconsin,36.40,35.55
Delaware,36.32,35.55
"North Carolina",36.20,35.55
Maine,36.18,35.55
Arizona,36.18,35.55
"North Dakota",36.07,35.55
Connecticut,36.00,35.55
Minnesota,36.00,35.55
"New Mexico",35.98,35.55
Nebraska,35.97,35.55
Maryland,35.96,35.55
"New Hampshire",35.93,35.55
Vermont,35.88,35.55
Idaho,35.87,35.55
Virginia,35.85,35.55
California,35.82,35.55
Colorado,35.64,35.55
Massachusetts,35.58,35.55
"New York",35.57,35.55
